web-scraper-order,web-scraper-start-url,Preis,plz,jahr,ps-stand,Farbe
"1669622809-330","https://www.autolina.ch/elektro-auto","61'900","7075","2022","269","weiss"
"1669622809-331","https://www.autolina.ch/elektro-auto","60'204","6234","null","77","weiss"
"1669622809-332","https://www.autolina.ch/elektro-auto","39'400","8500","null","136","blau"
"1669622809-333","https://www.autolina.ch/elektro-auto","83'990","5116","2022","204","sonstiges"
"1669622809-334","https://www.autolina.ch/elektro-auto","56'900","4410","2022","204","schwarz"
"1669622809-335","https://www.autolina.ch/elektro-auto","60'800","4410","2022","204","anthrazit"
"1669622809-336","https://www.autolina.ch/elektro-auto","25'900","8051","2019","136","schwarz"
"1669622809-337","https://www.autolina.ch/elektro-auto","67'390","4053","null","204","weiss"
"1669622809-338","https://www.autolina.ch/elektro-auto","23'900","8197","2020","136","silber"
"1669622809-339","https://www.autolina.ch/elektro-auto","59'990","4053","null","204","anthrazit"
"1669622809-340","https://www.autolina.ch/elektro-auto","60'710","9500","null","204","weiss"
"1669622809-341","https://www.autolina.ch/elektro-auto","73'200","4900","null","265","schwarz"
"1669622809-342","https://www.autolina.ch/elektro-auto","79'900","4900","null","299","schwarz"
"1669622809-343","https://www.autolina.ch/elektro-auto","68'900","4900","null","204","grau"
"1669622809-344","https://www.autolina.ch/elektro-auto","79'800","8307","null","204","sonstiges"
"1669622809-345","https://www.autolina.ch/elektro-auto","23'800","4900","2021","82","silber"
"1669622809-346","https://www.autolina.ch/elektro-auto","23'800","4900","2021","82","schwarz"
"1669622809-347","https://www.autolina.ch/elektro-auto","45'800","4900","2021","204","grau"
"1669622809-348","https://www.autolina.ch/elektro-auto","51'900","4900","2022","111","schwarz"
"1669622809-349","https://www.autolina.ch/elektro-auto","42'900","4208","2022","218","grau"
"1669622809-350","https://www.autolina.ch/elektro-auto","68'900","9542","null","265","blau"
"1669622809-351","https://www.autolina.ch/elektro-auto","68'770","3073","null","408","grau"
"1669622809-352","https://www.autolina.ch/elektro-auto","68'770","3073","null","408","schwarz"
"1669622809-353","https://www.autolina.ch/elektro-auto","21'789","5610","2020","116","silber"
"1669622809-354","https://www.autolina.ch/elektro-auto","85'900","7000","2022","204","sonstiges"
"1669622809-355","https://www.autolina.ch/elektro-auto","52'400","5621","2022","306","gold"
"1669622809-356","https://www.autolina.ch/elektro-auto","74'900","5040","2018","525","grau"
"1669622809-357","https://www.autolina.ch/elektro-auto","92'500","8302","2021","194","schwarz"
"1669622809-358","https://www.autolina.ch/elektro-auto","101'400","6208","2021","327","sonstiges"
"1669622809-359","https://www.autolina.ch/elektro-auto","51'890","9535","2020","513","schwarz"
"1669622809-360","https://www.autolina.ch/elektro-auto","45'610","8580","null","204","sonstiges"
"1669622809-361","https://www.autolina.ch/elektro-auto","90'500","9100","2022","299","weiss"
"1669622809-362","https://www.autolina.ch/elektro-auto","63'990","8048","null","204","sonstiges"
"1669622809-363","https://www.autolina.ch/elektro-auto","62'900","8048","null","265","weiss"
"1669622809-364","https://www.autolina.ch/elektro-auto","45'800","2504","2021","204","grau"
"1669622809-365","https://www.autolina.ch/elektro-auto","56'888","8048","2022","170","weiss"
"1669622809-366","https://www.autolina.ch/elektro-auto","71'900","1219","2022","299","grau"
"1669622809-367","https://www.autolina.ch/elektro-auto","49'958","9496","null","218","rot"
"1669622809-368","https://www.autolina.ch/elektro-auto","76'500","7265","null","292","schwarz"
"1669622809-369","https://www.autolina.ch/elektro-auto","57'900","7000","null","170","sonstiges"
"1669622809-370","https://www.autolina.ch/elektro-auto","57'900","7000","null","170","sonstiges"
"1669622809-371","https://www.autolina.ch/elektro-auto","57'600","7000","null","170","sonstiges"
"1669622809-372","https://www.autolina.ch/elektro-auto","54'900","7000","null","170","schwarz"
"1669622809-373","https://www.autolina.ch/elektro-auto","54'900","7000","null","170","schwarz"
"1669622809-374","https://www.autolina.ch/elektro-auto","54'900","7000","null","170","schwarz"
"1669622809-375","https://www.autolina.ch/elektro-auto","76'900","7000","2021","299","schwarz"
"1669622809-376","https://www.autolina.ch/elektro-auto","50'700","6064","null","231","grau"
"1669622809-377","https://www.autolina.ch/elektro-auto","68'950","3714","null","204","schwarz"
"1669622809-378","https://www.autolina.ch/elektro-auto","34'850","6331","2022","118","grau"
"1669622809-379","https://www.autolina.ch/elektro-auto","104'000","8600","2022","408","schwarz"
"1669622809-380","https://www.autolina.ch/elektro-auto","61'650","9014","2022","408","grau"
"1669622809-381","https://www.autolina.ch/elektro-auto","62'330","9014","2022","408","silber"
"1669622809-382","https://www.autolina.ch/elektro-auto","42'900","6900","2022","204","weiss"
"1669622809-383","https://www.autolina.ch/elektro-auto","95'700","8304","null","408","grau"
"1669622809-384","https://www.autolina.ch/elektro-auto","38'570","1121","2022","136","grün"
"1669622809-385","https://www.autolina.ch/elektro-auto","39'154","1700","null","136","grau"
"1669622809-386","https://www.autolina.ch/elektro-auto","69'628","1700","null","136","schwarz"
"1669622809-387","https://www.autolina.ch/elektro-auto","79'900","3627","null","601","blau"
"1669622809-388","https://www.autolina.ch/elektro-auto","72'990","3627","null","371","rot"
"1669622809-389","https://www.autolina.ch/elektro-auto","60'400","3627","null","269","blau"
"1669622809-390","https://www.autolina.ch/elektro-auto","71'900","3627","null","371","schwarz"
"1669622809-391","https://www.autolina.ch/elektro-auto","59'900","3627","2022","269","weiss"
"1669622809-392","https://www.autolina.ch/elektro-auto","63'900","3627","2021","371","weiss"
"1669622809-393","https://www.autolina.ch/elektro-auto","68'950","3714","null","265","weiss"
"1669622809-394","https://www.autolina.ch/elektro-auto","39'820","4663","null","136","rot"
"1669622809-395","https://www.autolina.ch/elektro-auto","98'500","8623","null","408","grau"
"1669622809-396","https://www.autolina.ch/elektro-auto","32'500","4614","2019","184","beige"
"1669622809-397","https://www.autolina.ch/elektro-auto","59'900","5432","2021","299","weiss"
"1669622809-398","https://www.autolina.ch/elektro-auto","193'000","3930","null","658","grau"
"1669622809-399","https://www.autolina.ch/elektro-auto","144'900","9494","2022","476","silber"
"1669622809-400","https://www.autolina.ch/elektro-auto","34'450","5400","null","136","sonstiges"
"1669622809-401","https://www.autolina.ch/elektro-auto","54'900","5610","2022","288","silber"
"1669622809-402","https://www.autolina.ch/elektro-auto","66'935","8472","null","null","null"
"1669622809-403","https://www.autolina.ch/elektro-auto","62'900","6403","null","265","schwarz"
"1669622809-404","https://www.autolina.ch/elektro-auto","79'879","3604","2022","299","silber"
"1669622809-405","https://www.autolina.ch/elektro-auto","56'272","3604","null","170","sonstiges"
"1669622809-406","https://www.autolina.ch/elektro-auto","57'709","3604","null","170","weiss"
"1669622809-407","https://www.autolina.ch/elektro-auto","73'900","5116","2022","299","schwarz"
"1669622809-408","https://www.autolina.ch/elektro-auto","42'300","8404","null","204","weiss"
"1669622809-409","https://www.autolina.ch/elektro-auto","62'920","9487","2022","204","weiss"
"1669622809-410","https://www.autolina.ch/elektro-auto","66'190","8708","null","204","blau"
"1669622809-411","https://www.autolina.ch/elektro-auto","39'999","4528","2020","204","weiss"
"1669622809-412","https://www.autolina.ch/elektro-auto","38'900","6926","2021","184","schwarz"
"1669622809-413","https://www.autolina.ch/elektro-auto","42'800","4600","2022","204","weiss"
"1669622809-414","https://www.autolina.ch/elektro-auto","48'200","6932","2022","231","grau"
"1669622809-415","https://www.autolina.ch/elektro-auto","162'980","6010","2022","598","schwarz"
"1669622809-416","https://www.autolina.ch/elektro-auto","83'790","8600","2022","204","schwarz"
"1669622809-417","https://www.autolina.ch/elektro-auto","48'050","5033","null","218","grau"
"1669622809-418","https://www.autolina.ch/elektro-auto","39'900","6208","2022","204","grau"
"1669622809-419","https://www.autolina.ch/elektro-auto","67'490","4053","2021","299","schwarz"
"1669622809-420","https://www.autolina.ch/elektro-auto","63'990","4053","2022","204","weiss"
"1669622809-421","https://www.autolina.ch/elektro-auto","124'400","8634","null","476","grau"
"1669622809-422","https://www.autolina.ch/elektro-auto","62'900","1163","2022","265","schwarz"
"1669622809-423","https://www.autolina.ch/elektro-auto","67'900","8302","null","299","sonstiges"
"1669622809-424","https://www.autolina.ch/elektro-auto","48'500","1163","2021","180","schwarz"
"1669622809-425","https://www.autolina.ch/elektro-auto","28'900","8451","2020","136","weiss"
"1669622809-426","https://www.autolina.ch/elektro-auto","36'850","3293","2022","136","grau"
"1669622809-427","https://www.autolina.ch/elektro-auto","49'900","3280","2022","180","weiss"
"1669622809-428","https://www.autolina.ch/elektro-auto","44'950","7000","null","136","rot"
"1669622809-429","https://www.autolina.ch/elektro-auto","34'340","9403","null","136","weiss"
"1669622809-430","https://www.autolina.ch/elektro-auto","56'650","3280","null","180","anthrazit"
"1669622809-431","https://www.autolina.ch/elektro-auto","56'650","3280","null","180","weiss"
"1669622809-432","https://www.autolina.ch/elektro-auto","40'666","8404","null","122","rot"
"1669622809-433","https://www.autolina.ch/elektro-auto","70'100","6423","null","325","schwarz"
"1669622809-434","https://www.autolina.ch/elektro-auto","73'100","3000","2022","408","schwarz"
"1669622809-435","https://www.autolina.ch/elektro-auto","41'120","9016","null","136","weiss"
"1669622809-436","https://www.autolina.ch/elektro-auto","179'500","9050","null","598","sonstiges"
"1669622809-437","https://www.autolina.ch/elektro-auto","45'950","6035","2022","204","weiss"
"1669622809-438","https://www.autolina.ch/elektro-auto","57'790","8280","null","204","sonstiges"
"1669622809-439","https://www.autolina.ch/elektro-auto","80'999","4132","null","204","sonstiges"
"1669622809-440","https://www.autolina.ch/elektro-auto","80'999","4132","null","204","sonstiges"
"1669622809-441","https://www.autolina.ch/elektro-auto","40'900","8488","null","122","weiss"
"1669622809-442","https://www.autolina.ch/elektro-auto","51'900","6340","2021","204","weiss"
"1669622809-443","https://www.autolina.ch/elektro-auto","59'888","8048","2020","313","schwarz"
"1669622809-444","https://www.autolina.ch/elektro-auto","34'500","5013","null","136","weiss"
"1669622809-445","https://www.autolina.ch/elektro-auto","56'300","5013","null","228","grau"
"1669622809-446","https://www.autolina.ch/elektro-auto","58'500","5013","null","136","weiss"
"1669622809-447","https://www.autolina.ch/elektro-auto","49'950","5013","2022","204","silber"
"1669622809-448","https://www.autolina.ch/elektro-auto","42'500","5013","2020","204","grau"
"1669622809-449","https://www.autolina.ch/elektro-auto","70'800","5013","null","325","silber"
"1669622809-450","https://www.autolina.ch/elektro-auto","60'750","5013","null","228","grau"
"1669622809-451","https://www.autolina.ch/elektro-auto","36'900","5013","null","136","weiss"
"1669622809-452","https://www.autolina.ch/elektro-auto","64'850","5013","null","306","schwarz"
"1669622809-453","https://www.autolina.ch/elektro-auto","56'350","5013","2021","217","schwarz"
"1669622809-454","https://www.autolina.ch/elektro-auto","56'350","5013","2021","217","schwarz"
"1669622809-455","https://www.autolina.ch/elektro-auto","49'900","5013","2021","204","blau"
"1669622809-456","https://www.autolina.ch/elektro-auto","35'800","5013","2021","136","orange"
"1669622809-457","https://www.autolina.ch/elektro-auto","31'300","5013","2019","136","weiss"
"1669622809-458","https://www.autolina.ch/elektro-auto","35'890","8274","null","118","grau"
"1669622809-459","https://www.autolina.ch/elektro-auto","30'990","8274","null","118","weiss"
"1669622809-460","https://www.autolina.ch/elektro-auto","35'890","8274","null","118","schwarz"
"1669622809-461","https://www.autolina.ch/elektro-auto","38'900","9100","2021","204","weiss"
"1669622809-462","https://www.autolina.ch/elektro-auto","68'590","8547","null","null","null"
"1669622809-463","https://www.autolina.ch/elektro-auto","63'410","3000","null","299","sonstiges"
"1669622809-464","https://www.autolina.ch/elektro-auto","60'900","2016","null","204","weiss"
"1669622809-465","https://www.autolina.ch/elektro-auto","66'800","2016","null","204","grau"
"1669622809-466","https://www.autolina.ch/elektro-auto","62'900","4058","null","204","sonstiges"
"1669622809-467","https://www.autolina.ch/elektro-auto","63'600","2016","null","204","grau"
"1669622809-468","https://www.autolina.ch/elektro-auto","69'800","2016","null","265","weiss"
"1669622809-469","https://www.autolina.ch/elektro-auto","47'820","8610","null","204","sonstiges"
"1669622809-470","https://www.autolina.ch/elektro-auto","68'950","9490","null","204","schwarz"
"1669622809-471","https://www.autolina.ch/elektro-auto","43'800","8872","null","136","grau"
"1669622809-472","https://www.autolina.ch/elektro-auto","34'800","8872","null","136","weiss"
"1669622809-473","https://www.autolina.ch/elektro-auto","63'400","8872","null","218","weiss"
"1669622809-474","https://www.autolina.ch/elektro-auto","57'800","8872","2022","218","grau"
"1669622809-475","https://www.autolina.ch/elektro-auto","35'900","8872","null","136","weiss"
"1669622809-476","https://www.autolina.ch/elektro-auto","57'950","3270","2022","204","blau"
"1669622809-477","https://www.autolina.ch/elektro-auto","58'200","3280","null","180","anthrazit"
"1669622809-478","https://www.autolina.ch/elektro-auto","24'900","6934","2020","81","orange"
"1669622809-479","https://www.autolina.ch/elektro-auto","62'320","4800","null","231","schwarz"
"1669622809-480","https://www.autolina.ch/elektro-auto","35'564","1700","null","136","schwarz"
"1669622809-481","https://www.autolina.ch/elektro-auto","41'990","8280","2022","204","weiss"
"1669622809-482","https://www.autolina.ch/elektro-auto","28'900","9200","2020","136","schwarz"
"1669622809-483","https://www.autolina.ch/elektro-auto","31'850","2540","2022","136","weiss"
"1669622809-484","https://www.autolina.ch/elektro-auto","28'900","2540","2022","118","weiss"
"1669622809-485","https://www.autolina.ch/elektro-auto","25'500","8600","2019","136","grau"
"1669622809-486","https://www.autolina.ch/elektro-auto","28'900","8051","2019","170","weiss"
"1669622809-487","https://www.autolina.ch/elektro-auto","29'500","6467","2021","136","weiss"
"1669622809-488","https://www.autolina.ch/elektro-auto","35'480","3000","null","118","grau"
"1669622809-489","https://www.autolina.ch/elektro-auto","40'570","5610","null","136","sonstiges"
"1669622809-490","https://www.autolina.ch/elektro-auto","49'725","5610","null","136","sonstiges"
"1669622809-491","https://www.autolina.ch/elektro-auto","49'725","5610","null","136","sonstiges"
"1669622809-492","https://www.autolina.ch/elektro-auto","44'200","5610","null","136","schwarz"
"1669622809-493","https://www.autolina.ch/elektro-auto","32'800","5610","2021","136","sonstiges"
"1669622809-494","https://www.autolina.ch/elektro-auto","40'945","5610","2022","136","sonstiges"
"1669622809-495","https://www.autolina.ch/elektro-auto","34'340","5610","2022","136","sonstiges"
"1669622809-496","https://www.autolina.ch/elektro-auto","34'040","5610","null","136","sonstiges"
"1669622809-497","https://www.autolina.ch/elektro-auto","34'505","5610","2022","136","sonstiges"
"1669622809-498","https://www.autolina.ch/elektro-auto","34'340","5610","2022","136","sonstiges"
"1669622809-499","https://www.autolina.ch/elektro-auto","40'160","5610","null","136","sonstiges"
"1669622809-500","https://www.autolina.ch/elektro-auto","40'285","5610","null","136","sonstiges"
"1669622809-501","https://www.autolina.ch/elektro-auto","36'050","5610","null","136","sonstiges"
"1669622809-502","https://www.autolina.ch/elektro-auto","35'200","5610","null","136","sonstiges"
"1669622809-503","https://www.autolina.ch/elektro-auto","35'880","5610","null","136","schwarz"
"1669622809-504","https://www.autolina.ch/elektro-auto","34'850","5610","null","136","sonstiges"
"1669622809-505","https://www.autolina.ch/elektro-auto","33'900","8750","2022","136","weiss"
"1669622809-506","https://www.autolina.ch/elektro-auto","42'090","5400","2022","136","sonstiges"
"1669622809-507","https://www.autolina.ch/elektro-auto","40'085","5400","2022","136","sonstiges"
"1669622809-508","https://www.autolina.ch/elektro-auto","38'131","5400","2022","136","sonstiges"
"1669622809-509","https://www.autolina.ch/elektro-auto","46'150","5400","2022","135","blau"
"1669622809-510","https://www.autolina.ch/elektro-auto","47'018","5400","null","136","sonstiges"
"1669622809-511","https://www.autolina.ch/elektro-auto","32'600","5400","null","136","sonstiges"
"1669622809-512","https://www.autolina.ch/elektro-auto","33'270","5400","2022","136","sonstiges"
"1669622809-513","https://www.autolina.ch/elektro-auto","34'850","5400","null","136","sonstiges"
"1669622809-514","https://www.autolina.ch/elektro-auto","34'900","8600","2021","145","sonstiges"
